country_iso3,country_name,year,value,indicator_code,indicator_name,source
MAR,,2002,,MDG_0000000001,,WHO GHO
UNSDG_SOUTHEASTERNASIA,,2023,,MDG_0000000001,,WHO GHO
UNICEFREGIONWE,,2022,,MDG_0000000001,,WHO GHO
BWA,,2004,,MDG_0000000001,,WHO GHO
ZWE,,2003,,MDG_0000000001,,WHO GHO
NPL,,2009,,MDG_0000000001,,WHO GHO
BOL,,2002,,MDG_0000000001,,WHO GHO
PRT,,2013,,MDG_0000000001,,WHO GHO
GRD,,2014,,MDG_0000000001,,WHO GHO
URY,,2010,,MDG_0000000001,,WHO GHO
LBY,,2016,,MDG_0000000001,,WHO GHO
BFA,,2018,,MDG_0000000001,,WHO GHO
HRV,,2001,,MDG_0000000001,,WHO GHO
HND,,2009,,MDG_0000000001,,WHO GHO
TCA,,2002,,MDG_0000000001,,WHO GHO
BLR,,2014,,MDG_0000000001,,WHO GHO
XKX,,2007,,MDG_0000000001,,WHO GHO
SUR,,2023,,MDG_0000000001,,WHO GHO
AMR,,2004,,MDG_0000000001,,WHO GHO
BOL,,2021,,MDG_0000000001,,WHO GHO
UZB,,2023,,MDG_0000000001,,WHO GHO
PNG,,2006,,MDG_0000000001,,WHO GHO
MYS,,2018,,MDG_0000000001,,WHO GHO
MAR,,2020,,MDG_0000000001,,WHO GHO
CZE,,2016,,MDG_0000000001,,WHO GHO
SDN,,2016,,MDG_0000000001,,WHO GHO
RUS,,2006,,MDG_0000000001,,WHO GHO
NZL,,2012,,MDG_0000000001,,WHO GHO
ARG,,2013,,MDG_0000000001,,WHO GHO
NRU,,2005,,MDG_0000000001,,WHO GHO
COK,,2009,,MDG_0000000001,,WHO GHO
DJI,,2021,,MDG_0000000001,,WHO GHO
UNICEFREGIONWCA,,2010,,MDG_0000000001,,WHO GHO
AUT,,2013,,MDG_0000000001,,WHO GHO
DNK,,2014,,MDG_0000000001,,WHO GHO
NAM,,2017,,MDG_0000000001,,WHO GHO
QAT,,2000,,MDG_0000000001,,WHO GHO
NGA,,2016,,MDG_0000000001,,WHO GHO
CRI,,2022,,MDG_0000000001,,WHO GHO
WB_UMI,,2009,,MDG_0000000001,,WHO GHO
MRT,,2004,,MDG_0000000001,,WHO GHO
PRT,,2010,,MDG_0000000001,,WHO GHO
UNSDG_EUROPENORTHERNAMR,,2015,,MDG_0000000001,,WHO GHO
KWT,,2019,,MDG_0000000001,,WHO GHO
KOR,,2022,,MDG_0000000001,,WHO GHO
HTI,,2017,,MDG_0000000001,,WHO GHO
MDG,,2023,,MDG_0000000001,,WHO GHO
YEM,,2015,,MDG_0000000001,,WHO GHO
LBN,,2001,,MDG_0000000001,,WHO GHO
BGR,,2014,,MDG_0000000001,,WHO GHO
CPV,,2012,,MDG_0000000001,,WHO GHO
LSO,,2016,,MDG_0000000001,,WHO GHO
UNSDG_NORTHERNAMR,,2011,,MDG_0000000001,,WHO GHO
ZAF,,2021,,MDG_0000000001,,WHO GHO
IND,,2009,,MDG_0000000001,,WHO GHO
AUS,,2005,,MDG_0000000001,,WHO GHO
UNSDG_WESTERNASIA,,2018,,MDG_0000000001,,WHO GHO
LSO,,2007,,MDG_0000000001,,WHO GHO
COL,,2010,,MDG_0000000001,,WHO GHO
BHS,,2021,,MDG_0000000001,,WHO GHO
UNSDG_EUROPENORTHERNAMR,,2003,,MDG_0000000001,,WHO GHO
CHL,,2015,,MDG_0000000001,,WHO GHO
PNG,,2009,,MDG_0000000001,,WHO GHO
UNICEF_ESARO,,2017,,MDG_0000000001,,WHO GHO
BLZ,,2023,,MDG_0000000001,,WHO GHO
CHE,,2020,,MDG_0000000001,,WHO GHO
SYC,,2011,,MDG_0000000001,,WHO GHO
MLT,,2015,,MDG_0000000001,,WHO GHO
UNICEFREGIONEECA,,2002,,MDG_0000000001,,WHO GHO
BGD,,2021,,MDG_0000000001,,WHO GHO
UNSDG_NORTHAFR,,2017,,MDG_0000000001,,WHO GHO
LKA,,2003,,MDG_0000000001,,WHO GHO
KWT,,2003,,MDG_0000000001,,WHO GHO
BOL,,2018,,MDG_0000000001,,WHO GHO
MDG,,2006,,MDG_0000000001,,WHO GHO
SYC,,2008,,MDG_0000000001,,WHO GHO
MUS,,2015,,MDG_0000000001,,WHO GHO
TJK,,2016,,MDG_0000000001,,WHO GHO
BIH,,2005,,MDG_0000000001,,WHO GHO
CPV,,2015,,MDG_0000000001,,WHO GHO
NPL,,2012,,MDG_0000000001,,WHO GHO
ARE,,2002,,MDG_0000000001,,WHO GHO
PHL,,2002,,MDG_0000000001,,WHO GHO
WSM,,2023,,MDG_0000000001,,WHO GHO
ROU,,2018,,MDG_0000000001,,WHO GHO
NRU,,2009,,MDG_0000000001,,WHO GHO
ISL,,2011,,MDG_0000000001,,WHO GHO
AUT,,2010,,MDG_0000000001,,WHO GHO
IRQ,,2021,,MDG_0000000001,,WHO GHO
SUR,,2023,,MDG_0000000001,,WHO GHO
SDN,,2019,,MDG_0000000001,,WHO GHO
FJI,,2005,,MDG_0000000001,,WHO GHO
WB_LMI,,2007,,MDG_0000000001,,WHO GHO
ARM,,2017,,MDG_0000000001,,WHO GHO
XKX,,2021,,MDG_0000000001,,WHO GHO
TCA,,2021,,MDG_0000000001,,WHO GHO
UNSDG_SOUTHASIA,,2003,,MDG_0000000001,,WHO GHO
UNSDG_LDC,,2021,,MDG_0000000001,,WHO GHO
TCA,,2008,,MDG_0000000001,,WHO GHO
MLI,,2011,,MDG_0000000001,,WHO GHO
BIH,,2010,,MDG_0000000001,,WHO GHO
BHR,,2017,,MDG_0000000001,,WHO GHO
MRT,,2000,,MDG_0000000001,,WHO GHO
MNG,,2008,,MDG_0000000001,,WHO GHO
LKA,,2012,,MDG_0000000001,,WHO GHO
HUN,,2013,,MDG_0000000001,,WHO GHO
IRQ,,2013,,MDG_0000000001,,WHO GHO
WSM,,2001,,MDG_0000000001,,WHO GHO
BGD,,2011,,MDG_0000000001,,WHO GHO
COL,,2022,,MDG_0000000001,,WHO GHO
MNE,,2011,,MDG_0000000001,,WHO GHO
LBR,,2022,,MDG_0000000001,,WHO GHO
UNSDG_LDC,,2019,,MDG_0000000001,,WHO GHO
RWA,,2005,,MDG_0000000001,,WHO GHO
AFR,,2017,,MDG_0000000001,,WHO GHO
NOR,,2008,,MDG_0000000001,,WHO GHO
IRQ,,2000,,MDG_0000000001,,WHO GHO
SLE,,2002,,MDG_0000000001,,WHO GHO
SEAR,,2010,,MDG_0000000001,,WHO GHO
PHL,,2000,,MDG_0000000001,,WHO GHO
VGB,,2010,,MDG_0000000001,,WHO GHO
POL,,2022,,MDG_0000000001,,WHO GHO
UNSDG_NORTHAFR,,2009,,MDG_0000000001,,WHO GHO
SSD,,2007,,MDG_0000000001,,WHO GHO
MSR,,2010,,MDG_0000000001,,WHO GHO
KNA,,2017,,MDG_0000000001,,WHO GHO
GHA,,2018,,MDG_0000000001,,WHO GHO
UNICEFREGIONMENA,,2002,,MDG_0000000001,,WHO GHO
CRI,,2016,,MDG_0000000001,,WHO GHO
AND,,2016,,MDG_0000000001,,WHO GHO
MDA,,2022,,MDG_0000000001,,WHO GHO
HND,,2011,,MDG_0000000001,,WHO GHO
UNSDG_WESTERNASIA,,2013,,MDG_0000000001,,WHO GHO
BEN,,2018,,MDG_0000000001,,WHO GHO
PER,,2019,,MDG_0000000001,,WHO GHO
ITA,,2023,,MDG_0000000001,,WHO GHO
CAN,,2012,,MDG_0000000001,,WHO GHO
BHR,,2010,,MDG_0000000001,,WHO GHO
UNSDG_EUROPENORTHERNAMR,,2023,,MDG_0000000001,,WHO GHO
NER,,2006,,MDG_0000000001,,WHO GHO
UNICEFREGIONNA,,2006,,MDG_0000000001,,WHO GHO
LKA,,2015,,MDG_0000000001,,WHO GHO
UNICEF_MENARO,,2007,,MDG_0000000001,,WHO GHO
FJI,,2009,,MDG_0000000001,,WHO GHO
UKR,,2009,,MDG_0000000001,,WHO GHO
TTO,,2020,,MDG_0000000001,,WHO GHO
UNSDG_AUSTRALIANEWZEALAND,,2002,,MDG_0000000001,,WHO GHO
SUR,,2014,,MDG_0000000001,,WHO GHO
UNSDG_EASTERNASIA,,2001,,MDG_0000000001,,WHO GHO
BIH,,2001,,MDG_0000000001,,WHO GHO
UNSDG_NORTHERNAMR,,2006,,MDG_0000000001,,WHO GHO
UNICEFREGIONMENA,,2009,,MDG_0000000001,,WHO GHO
BGR,,2016,,MDG_0000000001,,WHO GHO
UNSDG_EASTERNASIA,,2016,,MDG_0000000001,,WHO GHO
THA,,2005,,MDG_0000000001,,WHO GHO
